epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,130.151,1.51259,0.80146,0.82926,0.53916,0.59145,0.55162,0.31654,1.4233,0.89196,0.83765,0.0594083,0.000408303,0.000408303
43,131.618,1.47249,0.82686,0.8495,0.5388,0.62059,0.54313,0.30784,1.40365,0.92259,0.83536,0.0584182,0.000418176,0.000418176
44,133.057,1.3103,0.76224,0.85161,0.5388,0.62059,0.54313,0.30784,1.40365,0.92259,0.83536,0.057428,0.000428043,0.000428043
45,134.448,1.40017,0.78588,0.8546,0.57172,0.62341,0.57161,0.32325,1.38926,0.86692,0.83341,0.0564379,0.000437904,0.000437904
46,135.913,1.34845,0.75467,0.89404,0.57172,0.62341,0.57161,0.32325,1.38926,0.86692,0.83341,0.0554478,0.000447758,0.000447758
47,137.41,1.39045,0.81643,0.84275,0.63219,0.55544,0.57079,0.33459,1.37893,0.83252,0.83122,0.0544576,0.000457605,0.000457605
48,138.929,1.52959,0.77329,0.85235,0.63219,0.55544,0.57079,0.33459,1.37893,0.83252,0.83122,0.0534674,0.000467445,0.000467445
49,140.383,1.44437,0.74893,0.83514,0.68711,0.53649,0.56531,0.3331,1.38011,0.84391,0.83061,0.0524773,0.000477279,0.000477279
50,141.747,1.30282,0.69796,0.85841,0.68711,0.53649,0.56531,0.3331,1.38011,0.84391,0.83061,0.0514871,0.000487106,0.000487106
51,143.151,1.32689,0.75853,0.85585,0.5741,0.56018,0.57271,0.33842,1.37411,0.88541,0.83038,0.0504969,0.000496925,0.000496925
52,144.667,1.48825,0.76958,0.86884,0.5741,0.56018,0.57271,0.33842,1.37411,0.88541,0.83038,0.0495067,0.000506737,0.000506737
53,146.22,1.24301,0.78056,0.85322,0.5741,0.56018,0.57271,0.33842,1.37411,0.88541,0.83038,0.0485165,0.000516542,0.000516542
54,147.828,1.48848,0.70097,0.84777,0.55939,0.59376,0.55378,0.32542,1.37053,0.90548,0.82944,0.0475263,0.000526339,0.000526339
55,149.29,1.35035,0.71116,0.8852,0.55939,0.59376,0.55378,0.32542,1.37053,0.90548,0.82944,0.0465361,0.000536128,0.000536128
56,150.696,1.49262,0.79473,0.84802,0.55939,0.59376,0.55378,0.32542,1.37053,0.90548,0.82944,0.0455459,0.000545909,0.000545909
57,152.086,1.33842,0.73384,0.8556,0.55749,0.55459,0.52879,0.29939,1.37144,0.94749,0.82917,0.0445557,0.000555682,0.000555682
58,153.577,1.38452,0.71053,0.85494,0.55749,0.55459,0.52879,0.29939,1.37144,0.94749,0.82917,0.0435654,0.000565447,0.000565447
59,154.882,1.48331,0.73086,0.85034,0.55749,0.55459,0.52879,0.29939,1.37144,0.94749,0.82917,0.0425752,0.000575204,0.000575204
60,156.315,1.39307,0.76852,0.84317,0.54377,0.56552,0.53099,0.29516,1.3892,0.99583,0.83011,0.041585,0.000584952,0.000584952
61,157.86,1.41182,0.77055,0.85486,0.54377,0.56552,0.53099,0.29516,1.3892,0.99583,0.83011,0.0405947,0.000594691,0.000594691
62,159.405,1.25658,0.72873,0.84866,0.54377,0.56552,0.53099,0.29516,1.3892,0.99583,0.83011,0.0396044,0.000604422,0.000604422
